organism	name
Bacteroides	fragilis
Bacteroides	thetaiotaomicron
Bacteroides	uniformis
Bacteroides	vulgatus
Parabacteroides	distasonis
Campylobacter	gracilis
Sebaldella	termitidis
Campylobacter	ureolyticus
Butyrivibrio	fibrisolvens
Fibrobacter	succinogenes
Porphyromonas	gingivalis
Prevotella	ruminicola
Prevotella	loescheii
Wolinella	succinogenes
Oxalobacter	formigenes
Oxalobacter	formigenes
Fusobacterium	mortiferum
Fusobacterium	nucleatum
Fusobacterium	nucleatum
Fusobacterium	perfoetens
Faecalibacterium	prausnitzii
Fusobacterium	russii
Fusobacterium	necrophorum
Fusobacterium	periodonticum
Fusobacterium	ulcerans
Syntrophomonas	wolfei
Ruminobacter	amylophilus
Dichelobacter	nodosus
Desulfovibrio	africanus
Desulfovibrio	desulfuricans
Desulfovibrio	desulfuricans
Desulfovibrio	desulfuricans
Desulfovibrio	fructosivorans
Desulfovibrio	gigas
Desulfovibrio	salexigens
Desulfovibrio	vulgaris
Desulfovibrio	vulgaris
Desulfovibrio	longus
Desulfuromonas	acetoxidans
Desulfococcus	multivorans
Desulfomicrobium	baculatum
Desulfovibrio	piger
Acidaminococcus	fermentans
Megasphaera	elsdenii
Nitrobacter	hamburgensis
Nitrobacter	winogradskyi
Nitrosomonas	europaea
Nitrosomonas	eutropha
Nitrosomonas	marina
Acidithiobacillus	ferrooxidans
Starkeya	novella
Thiomonas	intermedia
Halothiobacillus	neapolitanus
Thermithiobacillus	tepidarius
Acidithiobacillus	thiooxidans
Thiobacillus	thioparus
Thiomicrospira	pelophila
Hydrogenobacter	thermophilus
Ehrlichia	canis
Ehrlichia	chaffeensis
Anaplasma	phagocytophilum
Neorickettsia	risticii
Neorickettsia	sennetsu
Francisella	persica
Wolbachia	pipientis
Bdellovibrio	bacteriovorus
Bdellovibrio	bacteriovorus
Bdellovibrio	bacteriovorus
Bdellovibrio	bacteriovorus
Herbaspirillum	seropedicae
Oceanospirillum	linum
Selenomonas	ruminantium
Selenomonas	ruminantium
Selenomonas	ruminantium
Cellulophaga	lytica
Saccharicrinis	fermentans
Pedobacter	heparinus
Cytophaga	hutchinsonii
Flavobacterium	johnsoniae
Aquimarina	latercula
Leeuwenhoekiella	marinoflava
Marinilabilia	salmonicolor
Flavobacterium	hydatis
Solitalea	canadensis
Flavobacterium	columnare
Eisenibacter	elegans
Flexibacter	flexilis
Bernardetia	litoralis
Hugenholtzia	roseola
Thermoflexibacter	ruber
Chitinophaga	sancti
Marivirga	tractuosa
Saprospira	grandis
Sphingobacterium	mizutaii
Weeksella	virosa
Bergeyella	zoohelcum
Capnocytophaga	gingivalis
Capnocytophaga	ochracea
Beggiatoa	alba
Microscilla	marina
Thiothrix	nivea
Afipia	clevelandensis
Afipia	felis
Erythrobacter	longus
Allochromatium	vinosum
Halorhodospira	halophila
Rhodobacter	capsulatus
Rhodobacter	sphaeroides
Rhodobacter	sphaeroides
Rhodomicrobium	vannielii
Rhodoblastus	acidophilus
Rhodopseudomonas	palustris
Rhodopseudomonas	palustris
Rhodopseudomonas	palustris
Rhodopseudomonas	palustris
Rhodopseudomonas	palustris
Rhodopseudomonas	palustris
Blastochloris	viridis
Afifella	marina
Phaeospirillum	molischianum
Pararhodospirillum	photometricum
Rhodospirillum	rubrum
Rhodovibrio	salinarum
Chlorobium	limicola
Chlorobium	phaeovibrioides
Chlorobium	phaeobacteroides
Chlorobium	phaeobacteroides
Chlorobium	tepidum
Chlorobium	luteolum
Prosthecochloris	aestuarii
Chloroflexus	aurantiacus
Porphyrobacter	neustonensis
Chlorogloeopsis	fritschii
Microcystis	aeruginosa
Planktothrix	agardhii
'Nostoc	azollae'
Anabaena	cylindrica
Aphanizomenon	flos-aquae
Leptolyngbya	boryana
Trichodesmium	erythraeum
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorococcus	marinus
Prochlorothrix	hollandica
Nitrosococcus	oceani
Nitrosospira	multiformis
Nitrosospira	multiformis
Nitrosovibrio	tenuis
Piscirickettsia	salmonis
Leuconostoc	gelidum
Leuconostoc	mesenteroides
Leuconostoc	lactis
Oenococcus	oeni
Weissella	paramesenteroides
Leuconostoc	fallax
Leuconostoc	carnosum
Pediococcus	acidilactici
Pediococcus	pentosaceus
Peptoniphilus	asaccharolyticus
Finegoldia	magna
Peptostreptococcus	anaerobius
Ruminococcus	albus
Ruminococcus	flavefaciens
Ruminococcus	flavefaciens
Ruminococcus	flavefaciens
Ruminococcus	flavefaciens
Clostridium	ventriculi
Micrococcus	luteus
Micrococcus	lylae
Dermacoccus	nishinomiyaensis
Kytococcus	sedentarius
Staphylococcus	aureus
Staphylococcus	epidermidis
Staphylococcus	haemolyticus
Staphylococcus	hyicus
Staphylococcus	simulans
Staphylococcus	xylosus
Staphylococcus	hominis
Staphylococcus	warneri
Staphylococcus	gallinarum
Staphylococcus	sciuri
Deinococcus	radiodurans
Streptococcus	gordonii
Streptococcus	salivarius
Streptococcus	sanguinis
Streptococcus	suis
Streptococcus	thermophilus
Streptococcus	mutans
Streptococcus	sobrinus
Streptococcus	agalactiae
Streptococcus	pneumoniae
Streptococcus	pyogenes
Streptococcus	parasanguinis
Blautia	hansenii
Faecalicoccus	pleomorphus
Streptococcus	anginosus
Streptococcus	criceti
Streptococcus	dysgalactiae
Streptococcus	equinus
Streptococcus	equi
Streptococcus	intermedius
Streptococcus	macacae
Streptococcus	ratti
Streptococcus	ferus
Streptococcus	iniae
Streptococcus	parauberis
Streptococcus	uberis
Enterococcus	faecalis
Enterococcus	faecalis
Enterococcus	faecium
Enterococcus	hirae
Enterococcus	columbae
Enterococcus	sulfureus
Lactococcus	lactis
